id	nazev	zkr
674	Koalice TOP 09 a Věci veřejné	
676	Koalice KDU-ČSL, SZ, NEZ a US-DEU	
677	Koalice Moravané a ČSNS2005	
678	Koalice Senátor pro Ostravu	ProOstr.
679	Koalice Suveren. a SPOZ	Suv.SPOZ
680	Koalice HpT a SZ	
681	Koalice NEZÁVISLÍ a SPOZ	
682	Koalice ČSSD a SPOZ	
683	Koalice KDU-ČSL, Suveren. a ČPS	
684	Koalice Svobodní a ČPS	
685	Koalice KONS, SZ a US-DEU	
686	Koalice HNHRM a TOP 09	
687	Koalice TOP 09 a ODS	
688	Koalice KDU-ČSL a EDS	
689	Koalice Suveren. a DSZ	
690	Koalice KDU-ČSL a Zelení	
691	Koalice SNK ED a Suveren.	
692	Koalice SONOB, SOSPRAHA a Občané	
693	Koalice Moravané a Suveren.	
694	Koalice KDU-ČSL a SN	
695	Koalice ALTER. a Občané	ALTER+OB
696	Lepší Kladno	OBČ+KAN
697	"""STAROSTOVÉ A NEZÁVISLÍ"" s podporou TOP 09"	STAN+TOP
698	Koalice Česká strana regionů a VÝCHODOČEŠI	ČSR+VČ
699	Koalice KDU-ČSL, SZ, ČSSD	ČSSDKDSZ
700	Koalice SBB a SDŹ	SBB+SDŽ
701	Doktoři (za uzdravení společnosti)	Doktoři
702	ALTERNATIVA	ALTER
703	Starostové pro Liberecký kraj	SLK
704	Severočeši.cz	S.cz
705	Strana podnikatelů a živnostníků	"""SPŽ"""
706	Nezávislí starostové	NEST
707	"""Evropští demokraté za právo, morálku a spravedlnost"""	ED-MS
708	Strana pro ekologii a zdraví	SEZ
709	Evropská demokratická strana	EDS
710	Liga spořádaných lidí	LSL
711	Lidé a Politika	LAP
712	"""Mírové hnutí 2007"""	MH-2007
713	Libertas.cz	Libertas
714	Strana svobodných občanů	Svobodní
715	Demokratická strana zelených	DSZ
716	Strana soukromníků České republiky	SsČR
717	ČESKÝ POLITICKÝ STŘED	ČPST
718	OBČANÉ.CZ	Občané
719	Hnutí Za Telefonování Zdarma	HZTZ.CZ
720	Česká pirátská strana	Piráti
721	TOP 09	TOP 09
722	Česká realistická strana	ČRS
723	STOP	STOP
724	Strana Práv Občanů	SPO
725	Victoria.cz	Victoria
726	Nový Impuls	NI
727	VOLBA PRO KLADNO	VPK
728	Pro Třebíč	ProTR
729	POLITIKA TRADIČNÍCH HODNOT	PTH
730	Nová budoucnost	NB
731	Ženy za Brod	ŽB
732	NÁŠ HLUČÍN	NH
733	"""Volím Orlovou"""	"""VO"""
734	"""Občané městu, město občanům"""	OMMO
735	Nezávislí pro Bílinu	N-BÍLINA
736	REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA	RSČMS
737	ČESKÁ NEZÁVISLÁ	"""ČNEZ"""
738	Jundrováci	Jundrováci
739	Královopolští patrioti	KPP
740	Strana demokratické obnovy	SDeO
741	Hnutí nezávislých za všestranný rozvoj Slatiny	HNVRS
742	Strakonická Veřejnost	SV
743	Hnutí O co jim jde?!	OCJJ
744	Pražané za svá práva	PP
745	Bílinští sociální demokraté	BSD
746	OSMA - občané svému městu	OSMA
747	B10.cz	B10.cz
748	Společnost pro Třinec	SpT
749	Konzervativní aliance 2014	KA14
750	Desítka pro domácí	DPD
751	VLASTENECKÁ STRANA	VS
752	Zdravé Hradiště	ZH
753	"""Občané pro Budějovice"""	"""HOPB"""
754	Občanské hnutí pro Mimoň	OHM
755	Ostravak	Ostravak
756	Česká strana regionů	ČSR
757	Sdružení nezávislých Holešovska	SNH
758	Naše Beskydy	NBeskydy
759	Česká Suverenita	ČS
760	Lidové fórum	LF
761	Strana pro Evropu	SPE
762	OBČANÉ 2011	OBČ_2011
763	Strana Globální Odpovědnosti	SGO
764	LEV 21 - Národní socialisté	LEV 21
765	Strana přátel časop.MAXIM a jejich přátel za max.svobodu projevu,za vybudování mocné armády a život bez zbyteč.zákazů	"""MAXIM"""
766	"""JIHOČEŠI 2012"""	"""JIH 12"""
767	Strana rovných příležitostí	SRP
768	ANO 2011	ANO 2011
769	VIZE 2014	VIZE
770	VÝCHODOČEŠI	VČ
771	politické hnutí Změna	Změna
772	HOZK - HNUTÍ ODBORNÍKŮ ZA KRAJE	HOZK
773	Středočeši2012.cz	S2012
774	PRO	PRO
775	ZVUK 12	ZVUK 12
776	PATRIOTI	PATRIOTI
777	Strana Češi	Češi
778	za Morální Očistu Regionu	M.O.R.
779	Starostové pro občany	STO
780	Nová budoucnost pro Liberecký kraj	NBPLK
781	Volba lidu 21.století	VL21
782	Hnutí FAIR PLAY	FairPlay
783	Česká strana selského rozumu	Čssr
784	Zemští Demokraté	ZEDEM
785	PRO Sport a Zdraví	PSZ
786	Občanská sounáležitost	OS
787	Sdružení nezávislých občanů Prahy 13	SNOP13
788	Občané České republiky	OČR
789	Strana důchodců Františka Burdy	SDFB
790	Pardubice pro lidi	PPL
791	Pro Prahu	HPP
792	Úsvit přímé demokracie	Úsvit
793	Nový směr	NOS
794	Romská demokratická strana	RDS
795	Liberálně ekologická strana	LES
796	Ústečané	Ú
797	Zlín 21	Z21
798	Náš Prostějov	NPV
799	Naše Město F-M	NMFM
1001	ANTIBURSÍK - STOP EKOTERORU !	ABS
1002	Republika	Republika
1003	Alternativa pro Plzeň	APPlzeň.cz
1004	Patrioti - Volba pro Prahu	VPP
1005	evropani.cz	evropani
1006	Občanská konzervativní strana	O.K. strana
1007	Hnutí dobrých proměn	HDP
1008	Pražané.cz	Pražané
1009	Jižní Město - náš domov	JM-ND
1010	HNUTÍ SOCIÁLNĚ SLABÝCH	HSS
1011	Toryové	TOR
1012	ÚSTECKÉ FÓRUM OBČANŮ	UFO
1013	Politické hnutí OBRODA	Obroda
1014	Občané pro Lochotín	OPL
1015	Občanské hnutí Můj domov	Můj domov
1016	HRADEČTÍ PATRIOTI strana pro sport, zdraví a kulturu	HRAD.PATRIOTI
1017	NOVÝ SEVER	NS
1018	Politické Hnutí Vítkovice	PHV
1019	SPOLU	SPOLU
1020	Pévéčko	PV
1021	Čisté Ústí	ČÚNL
1022	Občané patrioti	OPAT
1023	PATRIOT 2014	PATRIOT 2014
1024	Otevřená radnice	Hora 2014
1025	Ta naše Třebíč	TnT
1026	"""Žít Brno"""	ŽTB
1027	Ostravské fórum	OF
1028	Karlovaráci	KVC
1029	Frýdečané a Místečané	FraM
1030	Podpora občanů	Podpora
1031	Sdružení občanů Lesné	SOL
1032	Mladoboleslavské hnutí nezávislých	MBN
1033	Plzeň pro sport	PPS
1034	Spravedlivá občanská společnost	SPOS
1035	SMĚR - česká cesta	SMĚR - CS
1036	Město pro vás	MPV
1037	Karviňáci s Adámkem	Karviňáci
1038	Kozí alternativa	KOZY
1039	ProOlomouc	ProOl
1040	JIŘÍ STROBACH - náš starosta	JSNS
1041	Společnost proti developerské výstavbě v Prokopském údolí	SPDV
1042	"""Hnutí Praha-Kunratice"""	"""HPK"""
1043	NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU	NPP10-HPLD
1044	"""Hradecký demokratický klub"""	"""HDK"""
1045	Veřejné zájmy	VZ
1046	OBČANÉ SPOLU - NEZÁVISLÍ	"""OSN"""
1047	SPOLEHNUTÍ - SPOLEČNÉ HNUTÍ ČESKOLIPANŮ	SPOLEHNUTÍ
1048	TŘINÁCTKA	"""13tka"""
1049	Hradecký demokratický klub	HDK
1050	Koalice KDU-ČSL a Z21	KDU-ČSL+Z21
1051	RESTART	RESTART
1052	RESTART 2014	R2014
1053	Volyně v dolyně	VvD
1054	Koalice Rozumní a SSD	
1055	Šance pro Duchcov	ŠpD
1056	Hnutí občanů Prahy	HOP
1057	Koalice SZ a OMMO	
1058	Koalice KDU-ČSL a TOP09	
1059	Koalice ČS a PRO	
1060	Koalice Piráti a Změna	
1061	DOMA	DOMA
1062	Pro regiony občanům	Hnutí PROČ
1063	Moderní společnost	MODES
1064	Solidarita, Vlast a Zákon	SVAZ
1065	PROZMĚNU	PZ
1066	Koalice Piráti a SZ	Piráti+SZ
1067	Koalice SZ a M	
1068	Koalice SZ, NV, Piráti, Změna	
1069	Koalice KDU-ČSL, SZ, STAN	
1070	Koalice Svobodní a PRO	
1071	Koalice VpMB a ANO 2011	
1072	Koalice ND, DSSS, SPE	
1073	Koalice SsČR a PPL	
1074	Koalice KDU-ČSL, SZ, TOP 09	
1075	Koalice KDU-ČSL a HPP	
1076	Koalice DPD a HPP	
1077	Koalice KDU-ČSL, SZ, HNHRM a B10.cz	KDU+SZ+HNHR+B10
1078	Koalice ČSNS a ČSNS2005	
1079	Koalice SZ, KH, Piráti a Změna	
1080	Koalice SZ, Piráti a Změna	
1081	Koalice SNK ED a Změna	
1082	Koalice KDU-ČSL a KONS	
1083	Koalice SZSP a PSZ	
1084	Sdružení SZ, STAN, Piráti, Změna, NK	
1085	Koalice Svobodní a TOP 09	
1086	Koalice KDU-ČSL a ZVUK 12	
1087	Koalice ND a DSSS	
1088	"Koalice ""JIH 12"" a PSZ"	
1089	Koalice ND a ČHNJ	
1090	Koalice Úsvit a Hora 2014	Úsvit+Hora 2014
1091	Koalice KDU-ČSL, SZ, Piráti a OCJJ	
1092	Koalice ODS a KČ	ODS+KČ
1093	Koalice SZ a TOP 09	
1094	Koalice KDU-ČSL a LES	KDU-ČSL+LES
1095	Koalice KDU-ČSL a PSS	
1096	Koalice KONS, VV a Republika	
1097	Koalice SZ, KONS, SNK ED	
1098	Koalice M, LEV 21	M+LEV 21
1099	Koalice VV, Úsvit a Hora 2014	
1100	Koalice SZ, Piráti a B10.cz	
1101	Koalice ODS a Svobodní	
1102	Koalice DOMOV a Úsvit	
1103	Koalice KDU-ČSL, SZ, SNK ED	
1104	Koalice KDU-ČSL, IO a STAN	
1105	Koalice ODS a PSZ	
1106	Koalice VV a Hora 2014	
1107	Koalice ČS a Úsvit	
1108	Sdružení SVAZ, NK	
1109	Sdružení Piráti, Změna, NK	
1110	Sdružení Jundrováci, NK	
